"date","champaign","salem","ithaca"
2022-02-05,6.8225,20.015,8.75
2022-02-06,19.8425,30.2975,9.995
2022-02-07,15.6125,33.785,25.0925
2022-02-08,25.64,44.9075,19.445
2022-02-09,33.62,42.8525,26.87
2022-02-10,29.705,36.455,36.2675
2022-02-11,34.4675,44.8325,35.3525
2022-02-12,19.2875,22.9925,34.7375
2022-02-13,14.1425,23.4725,14.825
2022-02-14,17.045,31.6925,5.285
2022-02-15,27.9125,46.6775,7.73
2022-02-16,44.7425,56.84,29.4725
2022-02-17,32.0075,33.9875,45.1625
2022-02-18,18.98,25.9025,23.675
2022-02-19,18.1025,35.24,19.0925
2022-02-20,33.53,46.16,21.53
2022-02-21,45.125,53.555,37.5875
2022-02-22,44.495,43.7075,44.36
2022-02-23,20.87,17.2775,36.485
2022-02-24,25.8275,21.965,20.1875
2022-02-25,24.1925,20.5175,22.8125
2022-02-26,22.0925,25.4825,20.4725
2022-02-27,31.8575,30.44,24.5375
2022-02-28,36.785,41.255,14.975
2022-03-01,43.7525,52.745,31.52
2022-03-02,45.86,59.195,31.1075
2022-03-03,34.3175,51.32,19.97
2022-03-04,38.18,52.6025,13.865
2022-03-05,55.37,61.8125,27.1925
2022-03-06,46.0775,48.9875,52.7075
2022-03-07,33.755,33.605,40.01
2022-03-08,30.935,33.2225,28.265
2022-03-09,35.9975,39.815,28.4825
2022-03-10,30.425,39.425,NA
2022-03-11,24.155,26.3,36.6425
2022-03-12,15.8225,23.18,22.0475
2022-03-13,38.5325,48.605,20.195
2022-03-14,46.8275,49.8725,35.2775
2022-03-15,50.555,53.36,37.6175
2022-03-16,53.825,54.29,42.425
2022-03-17,56.09,61.595,46.895
2022-03-18,52.4825,50.705,NA
2022-03-19,41.195,44.2925,56.1875
2022-03-20,46.3175,50.555,41.885
2022-03-21,54.98,57.74,40.8125
2022-03-22,51.605,53.4875,35.12
2022-03-23,50.5175,41.6525,35.135
2022-03-24,40.7675,38.1875,42.5375
2022-03-25,42.2,44.945,41.3825
2022-03-26,33.4625,45.3575,37.7075
2022-03-27,29.9825,38.8325,26.15
2022-03-28,31.7225,42.59,15.3275
2022-03-29,37.04,56.96,21.23
2022-03-30,53.3075,54.4025,26.4875
2022-03-31,37.3175,36.455,50.3
2022-04-01,36.7475,39.335,36.7175
2022-04-02,38.81,49.76,33.485
2022-04-03,44.93,50.9075,34.2275
2022-04-04,48.4925,55.2875,35.5775
2022-04-05,44.8175,60.1025,45.965
2022-04-06,50.3675,53.5925,50.54
2022-04-07,41.585,43.955,45.7025
2022-04-08,36.9275,35.5775,44.1425
2022-04-09,40.235,44.9375,40.0325
2022-04-10,49.76,63.44,34.8575
2022-04-11,55.82,54.5975,43.7
2022-04-12,56.7125,64.385,50.225
2022-04-13,59.03,55.1975,56.2775
2022-04-14,44.195,45.8,56.2325
2022-04-15,50.345,48.545,47.405
2022-04-16,43.6325,49.2125,40.9775
2022-04-17,40.9475,41.45,32.8625
2022-04-18,38.2475,43.3625,34.5875
2022-04-19,41.15,45.2075,33.815
2022-04-20,49.4075,49.37,38.195
2022-04-21,57.875,64.88,45.845
2022-04-22,63.83,72.2525,45.995
2022-04-23,69.77,72.9875,47.1575
2022-04-24,66.95,67.2425,60.17
2022-04-25,51.2075,52.0175,60.08
2022-04-26,42.725,47.8925,49.955
2022-04-27,49.3475,56.2775,35.585
2022-04-28,52.415,56.24,36.545
2022-04-29,59.6075,66.965,38.6975
2022-04-30,63.9575,66.665,40.295
2022-05-01,52.085,60.125,48.8975
2022-05-02,52.43,52.1,53.7575
2022-05-03,56.3825,55.955,NA
2022-05-04,51.1175,52.31,52.6625
2022-05-05,53.48,57.005,51.4775
2022-05-06,53.495,55.925,50.69
2022-05-07,56.585,60.8825,49.73
2022-05-08,58.07,65.5625,46.2575
2022-05-09,67.9625,74.945,51.335
2022-05-10,75.0875,79.025,54.845
2022-05-11,79.0175,79.205,58.58
2022-05-12,77.8775,77.2175,63.5675
2022-05-13,74.2775,72.2525,65.195
